"Country" "Voter" "Points"
"Azerbaijan" "gb" ""
"Georgia" "gb" "1"
"Romania" "gb" "12"
"Denmark" "gb" ""
"Armenia" "gb" ""
"Ukraine" "gb" "2"
"Israel" "gb" "5"
"Ireland" "gb" "10"
"Cyprus" "gb" "4"
"Sweden" "gb" "3"
"Lithuania" "gb" "7"
"Croatia" "gb" ""
"Netherlands" "gb" ""
"Bulgaria" "gb" "6"
"Slovenia" "gb" ""
"Switzerland" "gb" ""
